Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2008-06-16,110.303223,65.064072,91.765663,177.960815,404.102051,217.327164,666.910706,323.133392,198.789474,557.430237,190.725784,65.620796,66.544151,289.86673,47.707603,153.847092,490.141235,99.539375,675.662048,62.59671,73.912071,477.859772,46.003918,108.369034,73.718086,31.276222,622.371277,378.677094,107.75425,19.040955
2008-06-17,112.222595,63.914978,99.001961,182.057678,401.238373,217.327164,661.07782,342.50116,208.474716,564.555359,194.636642,67.391235,68.791336,290.78653,48.074696,165.314392,508.424713,99.705177,710.945984,65.584793,75.82756,487.134766,48.10746,108.058121,74.103249,31.276222,623.325378,383.189331,109.571373,19.77202
2008-06-18,112.080437,64.093712,93.897285,185.992767,390.529388,217.327164,642.692566,344.893341,201.379135,578.257202,193.31929,64.524086,66.819313,283.552216,48.477249,158.314224,492.540924,99.714272,719.790405,65.292046,75.702629,477.576904,46.853664,107.320602,73.789406,31.276222,603.517334,378.606537,107.444008,19.20046
2008-06-19,114.710716,64.387375,89.515625,184.645142,387.304657,217.327164,634.806396,333.536438,193.46344,577.818787,190.972794,61.890991,65.260048,282.685913,48.370674,149.622452,468.688446,100.825279,702.383728,63.293457,74.203568,469.525024,45.122971,107.458,71.763687,31.276222,598.345215,372.489197,108.252846,18.316534
2008-06-20,110.543144,64.74231,87.895096,186.51384,368.870728,217.327164,614.08783,325.458374,189.73436,554.653381,185.785797,60.358673,62.737694,277.761627,47.05632,144.887497,459.090149,100.606316,684.788818,64.279839,72.413017,438.488281,43.26741,106.463768,69.7379,31.276222,570.467712,363.00824,105.07283,17.791494
2008-06-23,101.816986,63.42981,87.134697,180.045197,364.900024,217.327164,603.635376,330.093475,189.337265,535.653442,186.526779,59.266029,59.848457,280.786133,46.274811,137.193893,429.113281,96.02375,647.62323,65.796112,70.289352,422.92804,41.795109,103.318443,69.673737,31.276222,546.954468,360.653687,106.269501,17.14683
2008-06-24,101.132751,62.55394,84.629105,172.246826,361.266144,217.327164,615.301147,337.75415,183.061707,515.082275,176.605591,57.938862,57.784721,272.503082,45.24464,131.168579,413.767059,94.003929,638.543457,63.423359,67.624352,432.13031,42.03442,95.693741,68.732201,31.276222,521.791199,354.830627,104.197533,17.944355
2008-06-25,97.640518,59.270103,85.632584,178.032715,375.416443,217.327164,609.141663,323.252533,185.409668,511.538025,177.881744,57.32296,56.042004,265.755127,44.131626,127.905151,414.196564,94.449585,658.631775,64.068497,66.125298,446.592957,41.72921,94.225929,67.697891,31.276222,545.04718,369.041504,101.16156,17.452545
2008-06-26,94.672569,59.625031,84.298767,175.822556,369.327942,217.327164,609.608398,333.081757,182.733688,521.220764,174.670731,57.327023,55.033066,270.808258,45.315685,126.237862,422.407196,96.662498,636.896851,64.53923,69.706383,468.322052,42.183556,97.078415,69.823509,31.276222,555.428284,368.663116,106.358147,17.459192
2008-06-27,88.079063,61.146938,78.402527,177.583725,359.437134,217.327164,609.561646,324.05954,175.862518,497.215057,171.665573,53.65823,50.676281,259.523956,43.563251,118.958191,405.986023,89.307327,606.882141,61.558258,66.666611,456.328125,40.173664,96.424019,64.067291,31.276222,533.162476,363.765076,100.883919,16.575268
